target_id,pref_name,organism,target_type_id,n_compounds
CHEMBL1075021,DNA gyrase subunit B,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),SINGLE PROTEIN,35
CHEMBL1075022,ParE,Streptococcus pneumoniae,SINGLE PROTEIN,35
CHEMBL1075023,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),SINGLE PROTEIN,3
CHEMBL1075024,Enoyl-(Acyl-carrier-protein) reductase,Streptococcus pneumoniae,SINGLE PROTEIN,42
CHEMBL1075025,Undecaprenyl pyrophosphate synthase,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),SINGLE PROTEIN,32
CHEMBL1075027,B-N-acetylhexosaminidase,Streptomyces plicatus,SINGLE PROTEIN,3
CHEMBL1075028,Alpha carbonic anhydrase,Stylophora pistillata,SINGLE PROTEIN,44
CHEMBL1075029,A1 adenosine receptor,Sus scrofa,SINGLE PROTEIN,32
CHEMBL1075030,Urokinase-type plasminogen activator,Sus scrofa,SINGLE PROTEIN,2
CHEMBL1075031,5-methylthioadenosine/S-adenosylhomocysteine deaminase,Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099),SINGLE PROTEIN,3
CHEMBL1075032,Adenosylhomocysteinase,Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099),SINGLE PROTEIN,2
CHEMBL1075033,Calcium dependent protein kinase,Triticum aestivum,SINGLE PROTEIN,1
CHEMBL1075034,Thymidine kinase,Vaccinia virus (strain Western Reserve) (VACV) (Vaccinia virus (strainWR)),SINGLE PROTEIN,14
CHEMBL1075036,Yersiniabactin siderophore biosynthetic protein,Yersinia pestis CA88-4125,SINGLE PROTEIN,33
CHEMBL1075038,Beta-glucosidase,Agrobacterium sp. ATCC 21400,SINGLE PROTEIN,2
CHEMBL1075039,Cytochrome P450 165B3,Amycolatopsis orientalis,SINGLE PROTEIN,2
CHEMBL1075040,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,Aquifex aeolicus (strain VF5),SINGLE PROTEIN,9
CHEMBL1075041,"Peptide deformylase 1A, chloroplastic",Arabidopsis thaliana,SINGLE PROTEIN,4
CHEMBL1075042,Endo-beta-N-acetylglucosaminidase,Arthrobacter protophormiae,SINGLE PROTEIN,3
CHEMBL1075043,Guanyl-specific ribonuclease T1,Aspergillus oryzae (strain ATCC 42149 / RIB 40),SINGLE PROTEIN,19
CHEMBL1075044,Enoyl-[acyl-carrier-protein] reductase [NADH],Bacillus subtilis (strain 168),SINGLE PROTEIN,28
CHEMBL1075045,Dihydropteroate synthase,Bacillus anthracis,SINGLE PROTEIN,8
CHEMBL1075048,Protoporphyrinogen oxidase,Bacillus subtilis (strain 168),SINGLE PROTEIN,25
